0.56 0.01 -0.003397 -0.000022 0.003397
0.57 0.01 -0.003349 -0.000026 0.003349
0.58 0.01 -0.003292 -0.000031 0.003293
0.58 0.01 -0.003227 -0.000035 0.003227
0.59 0.01 -0.003153 -0.000039 0.003154
0.60 0.01 -0.003071 -0.000043 0.003072
0.61 0.01 -0.002982 -0.000047 0.002982
0.62 0.01 -0.002884 -0.000050 0.002885
0.64 0.01 -0.002780 -0.000054 0.002781
0.65 0.01 -0.002669 -0.000057 0.002670
0.66 0.01 -0.002553 -0.000060 0.002553
0.67 0.01 -0.002430 -0.000062 0.002431
0.68 0.01 -0.002303 -0.000065 0.002304
0.69 0.01 -0.002172 -0.000067 0.002173
0.70 0.01 -0.002037 -0.000068 0.002039
0.70 0.01 -0.001900 -0.000069 0.001902
0.71 0.01 -0.001761 -0.000070 0.001763
0.72 0.01 -0.001622 -0.000070 0.001623
0.73 0.01 -0.001482 -0.000070 0.001484
0.74 0.01 -0.001343 -0.000069 0.001345
0.76 0.01 -0.001206 -0.000068 0.001208
0.77 0.01 -0.001071 -0.000067 0.001073
0.78 0.01 -0.000940 -0.000065 0.000942
0.79 0.01 -0.000813 -0.000062 0.000816
0.80 0.01 -0.000692 -0.000059 0.000694
0.81 0.01 -0.000576 -0.000056 0.000579
0.82 0.01 -0.000468 -0.000053 0.000471
0.83 0.01 -0.000367 -0.000049 0.000370
0.83 0.01 -0.000274 -0.000044 0.000277
0.84 0.01 -0.000190 -0.000040 0.000194
0.85 0.01 -0.000115 -0.000035 0.000120
0.86 0.01 -0.000050 -0.000030 0.000058
0.88 0.01 0.000005 -0.000025 0.000025
0.89 0.01 0.000049 -0.000020 0.000053
0.90 0.01 0.000083 -0.000014 0.000084
0.91 0.01 0.000106 -0.000009 0.000107
0.92 0.01 0.000120 -0.000004 0.000120
0.93 0.01 0.000123 0.000001 0.000123
0.94 0.01 0.000117 0.000005 0.000117
0.95 0.01 0.000103 0.000009 0.000103
0.96 0.01 0.000083 0.000012 0.000084
0.96 0.01 0.000058 0.000013 0.000060
0.97 0.01 0.000034 0.000012 0.000036
0.98 0.01 0.000013 0.000009 0.000016
0.99 0.01 0.000002 0.000002 0.000003
0.01 0.01 0.000009 -0.000017 0.000019
0.01 0.01 0.000032 -0.000032 0.000046
0.03 0.01 0.000060 -0.000031 0.000068
0.04 0.01 0.000079 -0.000019 0.000081
0.04 0.01 0.000081 -0.000000 0.000081
0.06 0.01 0.000059 0.000023 0.000063
0.07 0.01 0.000011 0.000047 0.000049
0.07 0.01 -0.000065 0.000072 0.000097
0.09 0.01 -0.000169 0.000097 0.000195
0.10 0.01 -0.000300 0.000120 0.000324
0.10 0.01 -0.000458 0.000142 0.000479
0.12 0.01 -0.000639 0.000163 0.000660
0.12 0.01 -0.000844 0.000182 0.000863
0.14 0.01 -0.001069 0.000199 0.001088
0.14 0.01 -0.001314 0.000214 0.001331
0.15 0.01 -0.001575 0.000228 0.001591
0.17 0.01 -0.001851 0.000240 0.001867
0.18 0.01 -0.002141 0.000251 0.002155
0.18 0.01 -0.002441 0.000259 0.002455
0.20 0.01 -0.002752 0.000267 0.002765
0.21 0.01 -0.003070 0.000273 0.003082
0.21 0.01 -0.003395 0.000278 0.003406
0.23 0.01 -0.003725 0.000282 0.003736
0.24 0.01 -0.004058 0.000284 0.004068
0.24 0.01 -0.004394 0.000285 0.004403
0.26 0.01 -0.004730 0.000285 0.004739
0.27 0.01 -0.005066 0.000285 0.005074
0.28 0.01 -0.005401 0.000283 0.005408
0.29 0.01 -0.005733 0.000280 0.005739
0.29 0.01 -0.006060 0.000276 0.006067
0.30 0.01 -0.006383 0.000272 0.006389
0.32 0.01 -0.006700 0.000266 0.006705
0.33 0.01 -0.007010 0.000260 0.007015
0.34 0.01 -0.007311 0.000252 0.007316
0.35 0.01 -0.007603 0.000244 0.007607
0.35 0.01 -0.007885 0.000235 0.007889
0.36 0.01 -0.008156 0.000225 0.008159
0.38 0.01 -0.008414 0.000214 0.008416
0.39 0.01 -0.008658 0.000202 0.008661
0.40 0.01 -0.008888 0.000190 0.008890
0.41 0.01 -0.009103 0.000176 0.009105
0.42 0.01 -0.009301 0.000162 0.009303
