RANK 0: imaxLocal : 100, jmaxLocal : 100
Parameters:
Geometry data:
	Domain box size (x, y): 1.000000e+00, 1.000000e+00
	Cells (x, y): 100, 100
Iterative solver parameters:
	Max iterations: 1000000
	epsilon (stopping tolerance) : 1.000000e-06
	omega (SOR relaxation): 1.900000e+00
575 Residuum: 4.743755e-01
576 Residuum: 4.673967e-01
577 Residuum: 4.605205e-01
578 Residuum: 4.537454e-01
579 Residuum: 4.470699e-01
580 Residuum: 4.404926e-01
581 Residuum: 4.340119e-01
582 Residuum: 4.276266e-01
583 Residuum: 4.213351e-01
584 Residuum: 4.151361e-01
585 Residuum: 4.090283e-01
586 Residuum: 4.030103e-01
587 Residuum: 3.970808e-01
588 Residuum: 3.912384e-01
589 Residuum: 3.854820e-01
590 Residuum: 3.798102e-01
591 Residuum: 3.742218e-01
592 Residuum: 3.687156e-01
593 Residuum: 3.632904e-01
594 Residuum: 3.579449e-01
595 Residuum: 3.526781e-01
596 Residuum: 3.474887e-01
597 Residuum: 3.423756e-01
598 Residuum: 3.373377e-01
599 Residuum: 3.323739e-01
600 Residuum: 3.274831e-01
601 Residuum: 3.226642e-01
602 Residuum: 3.179162e-01
603 Residuum: 3.132380e-01
604 Residuum: 3.086286e-01
605 Residuum: 3.040870e-01
606 Residuum: 2.996122e-01
607 Residuum: 2.952032e-01
608 Residuum: 2.908591e-01
609 Residuum: 2.865788e-01
610 Residuum: 2.823615e-01
611 Residuum: 2.782063e-01
612 Residuum: 2.741121e-01
613 Residuum: 2.700782e-01
614 Residuum: 2.661036e-01
615 Residuum: 2.621875e-01
616 Residuum: 2.583289e-01
617 Residuum: 2.545271e-01
618 Residuum: 2.507813e-01
619 Residuum: 2.470905e-01
620 Residuum: 2.434541e-01
621 Residuum: 2.398711e-01
622 Residuum: 2.363408e-01
623 Residuum: 2.328625e-01
624 Residuum: 2.294353e-01
625 Residuum: 2.260586e-01
626 Residuum: 2.227315e-01
627 Residuum: 2.194534e-01
628 Residuum: 2.162234e-01
629 Residuum: 2.130410e-01
630 Residuum: 2.099055e-01
631 Residuum: 2.068160e-01
632 Residuum: 2.037720e-01
633 Residuum: 2.007728e-01
634 Residuum: 1.978177e-01
635 Residuum: 1.949061e-01
636 Residuum: 1.920373e-01
637 Residuum: 1.892107e-01
638 Residuum: 1.864257e-01
639 Residuum: 1.836817e-01
640 Residuum: 1.809781e-01
641 Residuum: 1.783142e-01
642 Residuum: 1.756895e-01
643 Residuum: 1.731035e-01
644 Residuum: 1.705554e-01
645 Residuum: 1.680449e-01
646 Residuum: 1.655713e-01
647 Residuum: 1.631342e-01
648 Residuum: 1.607328e-01
649 Residuum: 1.583668e-01
650 Residuum: 1.560357e-01
651 Residuum: 1.537388e-01
652 Residuum: 1.514757e-01
653 Residuum: 1.492459e-01
654 Residuum: 1.470489e-01
655 Residuum: 1.448843e-01
656 Residuum: 1.427515e-01
657 Residuum: 1.406501e-01
658 Residuum: 1.385796e-01
659 Residuum: 1.365396e-01
660 Residuum: 1.345296e-01
661 Residuum: 1.325492e-01
662 Residuum: 1.305979e-01
